seed_title,onet_code,onet_name
Postmaster Relief (PMR),11-9131.00,Postmasters and Mail Superintendents
Staff Anesthetist,29-1211.00,Anesthesiologists
Well Tender,53-7073.00,Wellhead Pumpers
CNC Machinist (Computer Numeric Controlled Machinist),51-4041.00,Machinists
Parking Ramp Attendant,53-6021.00,Parking Attendants
Medical Biller,43-3021.00,Billing and Posting Clerks
Fuel Manager,11-3051.04,Biomass Power Plant Managers
Employment Representative,13-1071.00,Human Resources Specialists
Nuclear Equipment Operator (NEO),19-4051.00,Nuclear Technicians
Career and Technology Education Teacher (CTE Teacher),25-2023.00,"Career/Technical Education Teachers, Middle School"
Seater,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
Chemical Engineering Professor,25-1032.00,"Engineering Teachers, Postsecondary"
Logging Supervisor,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Woodshop Worker,51-7032.00,"Patternmakers, Wood"
Cable Operator,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
Brewing Technician,51-3092.00,Food Batchmakers
Wafer Fabrication Operator,51-9141.00,Semiconductor Processing Technicians
Science Instructor,25-1054.00,"Physics Teachers, Postsecondary"
Roustabout,47-5071.00,"Roustabouts, Oil and Gas"
Speech and Language Teacher,29-1127.00,Speech-Language Pathologists
Managing Broker,41-9021.00,Real Estate Brokers
Labor Specialist,13-1075.00,Labor Relations Specialists
Gas Controller,51-8092.00,Gas Plant Operators
Building Science and Energy Specialist,47-4011.01,Energy Auditors
Residential Field Manager,47-1011.03,Solar Energy Installation Managers
Ergonomic Consultant,17-2112.01,Human Factors Engineers and Ergonomists
Loss Prevention Associate,33-9021.00,Private Detectives and Investigators
Rehabilitation Aide (Rehab Aide),31-2012.00,Occupational Therapy Aides
Graphic Design and Art Production Manager,27-1011.00,Art Directors
Product Technology Scientist,17-2021.00,Agricultural Engineers
Flat Sorting Machine Clerk (FSM Clerk),43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Sewing Pattern Layout Technician,51-6092.00,Fabric and Apparel Patternmakers
Family Practitioner,29-1215.00,Family Medicine Physicians
Boat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Asset Protection Detective,33-9021.00,Private Detectives and Investigators
Piano Teacher,25-3021.00,Self-Enrichment Teachers
Gas System Operator,51-8092.00,Gas Plant Operators
Marble Finisher Helper,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Collision Technician (Collision Tech),49-3021.00,Automotive Body and Related Repairers
Business Intelligence Analyst,15-2051.01,Business Intelligence Analysts
Hydrologist,19-2043.00,Hydrologists
Transit Vehicle Inspector,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
Site Work Laborer,47-2061.00,Construction Laborers
Precision Technology Agronomist (Precision Tech Agronomist),19-4012.01,Precision Agriculture Technicians
Log Check Scaler,45-4023.00,Log Graders and Scalers
Learning Consultant,19-3034.00,School Psychologists
Peace Officer,33-3051.00,Police and Sheriff's Patrol Officers
Administrative Hearings Officer,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Nuclear Control Room Operator,51-8011.00,Nuclear Power Reactor Operators
Waste Water Worker,47-2151.00,Pipelayers
Severe Emotional Disorders Elementary Teacher (SED Elementary Teacher),25-2056.00,"Special Education Teachers, Elementary School"
Chinese Medical Doctor,29-1291.00,Acupuncturists
Learning and Development Specialist (L and D Specialist),13-1151.00,Training and Development Specialists
State Wildlife Officer,33-3031.00,Fish and Game Wardens
Cardiopulmonary Technician,29-2031.00,Cardiovascular Technologists and Technicians
Alternative Dispute Resolution Coordinator (ADR Coordinator),23-1022.00,"Arbitrators, Mediators, and Conciliators"
IT Program Manager (Information Technology Program Manager),15-1299.09,Information Technology Project Managers
Meat Specialist,51-3021.00,Butchers and Meat Cutters
Employee Benefits Manager,11-3111.00,Compensation and Benefits Managers
General Manager (GM),11-1021.00,General and Operations Managers
Roaster Operator,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Spindraw Operator,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Stone Cutter,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
Belly Dancer,27-2031.00,Dancers
Attorney,23-1011.00,Lawyers
Bishop,21-2011.00,Clergy
I and C Tech (Instrument and Control Technician),49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
Business Records Manager,15-1299.03,Document Management Specialists
Tax Examining Technician,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Environmental Services Supervisor (EVS),37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Compliance Director,11-9199.02,Compliance Managers
Front Desk Associate,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Chiropractic Physician,29-1011.00,Chiropractors
Public Health Officer,29-1229.05,Preventive Medicine Physicians
Flat Cutter,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
Laminator,51-2051.00,Fiberglass Laminators and Fabricators
Water Quality Specialist,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
Business Continuity Coordinator,13-1199.04,Business Continuity Planners
Ladies Locker Room Attendant,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Railroad Switchman,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
Asphalt Roller Operator,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Surgical First Assistant,29-9093.00,Surgical Assistants
Relief Charge Nurse,29-1141.00,Registered Nurses
Rental Sales Representative,41-2021.00,Counter and Rental Clerks
Hazardous Substances Scientist,19-2041.00,"Environmental Scientists and Specialists, Including Health"
Administrative Clerk (Admin Clerk),43-9061.00,"Office Clerks, General"
Home Energy Inspector,47-4011.01,Energy Auditors
Community Relations Director,11-2032.00,Public Relations Managers
Broadcast Engineer,27-4012.00,Broadcast Technicians
Air Export Specialist,43-5011.00,Cargo and Freight Agents
Maintenance Equipment Operator (MEO),47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Transportation Maintenance Operator,47-4051.00,Highway Maintenance Workers
Cage and Players Club Rep (Cage and Players Club Representative),43-3041.00,Gambling Cage Workers
Habitat Biologist,19-1023.00,Zoologists and Wildlife Biologists
Facilities Painter,47-2141.00,"Painters, Construction and Maintenance"
Field Service Tech (Field Service Technician),49-2097.00,Audiovisual Equipment Installers and Repairers
Developmental Aide,31-1133.00,Psychiatric Aides
Teacher Aide,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Nursing Professor,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
Loss Prevention Manager,11-9199.08,Loss Prevention Managers
Urologist,29-1229.03,Urologists
Electrical and Instrumentation Supervisor (E and I Supervisor),49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Slot Shift Manager,39-1013.00,First-Line Supervisors of Gambling Services Workers
Through Freight Engineer,53-4011.00,Locomotive Engineers
Automotive Technician,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
Commodity Manager,11-3061.00,Purchasing Managers
Materials Director,11-3061.00,Purchasing Managers
Convention Services Director,13-1121.00,"Meeting, Convention, and Event Planners"
Financial Systems Manager,11-3031.00,Financial Managers
Library Circulation Assistant,43-4121.00,"Library Assistants, Clerical"
Expanded Dental Assistant,31-9091.00,Dental Assistants
Aviation Safety Inspector (ASI),53-6051.01,Aviation Inspectors
Musician,27-2042.00,Musicians and Singers
Hospital Pharmacist,29-1051.00,Pharmacists
Naturopathic Endocrinologist,29-1299.01,Naturopathic Physicians
Certified Master Safe Cracker,49-9094.00,Locksmiths and Safe Repairers
Financial Planning Manager,11-3031.00,Financial Managers
Workforce Services Representative (WSR),43-4061.00,"Eligibility Interviewers, Government Programs"
Dietary Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Recycle Driver,53-7081.00,Refuse and Recyclable Material Collectors
Requirements Analyst,27-3042.00,Technical Writers
Information Technology Director (IT Director),11-3021.00,Computer and Information Systems Managers
Inside Sales Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Traditional Chinese Medicine Doctor,29-1291.00,Acupuncturists
Quality Management Coordinator,17-3026.00,Industrial Engineering Technologists and Technicians
Corporate Banking Officer,13-2072.00,Loan Officers
Commercial Floor Covering Installer,47-2041.00,Carpet Installers
Roof Mechanic,47-2181.00,Roofers
Web Administrator,15-1299.01,Web Administrators
Mammographer,29-2034.00,Radiologic Technologists and Technicians
Prosthetic Practitioner,29-2091.00,Orthotists and Prosthetists
Industrial Rehabilitation Consultant,29-1122.00,Occupational Therapists
Full-Stack Engineer,15-1252.00,Software Developers
Maintenance Journeyman,49-9071.00,"Maintenance and Repair Workers, General"
Social Services Assistant,21-1093.00,Social and Human Service Assistants
Booth Operator,39-3021.00,Motion Picture Projectionists
Troubleman,49-9051.00,Electrical Power-Line Installers and Repairers
Neighborhood Conservation Officer,13-1041.04,Government Property Inspectors and Investigators
Watch Estimator,49-9064.00,Watch and Clock Repairers
Licensing Analyst,13-1041.00,Compliance Officers
Data Warehouse Analyst,15-1243.01,Data Warehousing Specialists
Bank Teller,43-3071.00,Tellers
Boom Pump Operator,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
Corporate Physical Security Supervisor,11-3013.01,Security Managers
Customer Service Engineer,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
Elevator Technician (Elevator Tech),47-4021.00,Elevator and Escalator Installers and Repairers
Web Programmer,15-1251.00,Computer Programmers
Gastroenterology Nurse Practitioner,29-1171.00,Nurse Practitioners
Barback,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Emergency Management Coordinator,11-9161.00,Emergency Management Directors
Hospice Social Worker,21-1022.00,Healthcare Social Workers
Exterminator,37-2021.00,Pest Control Workers
Visitor Services Specialist,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
Family Dentist,29-1021.00,"Dentists, General"
Signal Maintainer,49-9097.00,Signal and Track Switch Repairers
Term Law Clerk,23-1012.00,Judicial Law Clerks
Commercial Fisherman,45-3031.00,Fishing and Hunting Workers
Maintenance Foreman,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Fitness Coordinator,11-9179.01,Fitness and Wellness Coordinators
Orthodontic Specialist,29-1023.00,Orthodontists
Food Science Tech (Food Science Technician),19-4013.00,Food Science Technicians
Field Service Roustabout,47-5071.00,"Roustabouts, Oil and Gas"
Casino Floor Runner,39-3012.00,Gambling and Sports Book Writers and Runners
Order Filler,53-7065.00,Stockers and Order Fillers
Horticulturist,19-1029.04,Biologists
Receptionist,43-4171.00,Receptionists and Information Clerks
Scope Tech (Scope Technician),31-9099.02,Endoscopy Technicians
Occupational Medicine Physician,29-1229.05,Preventive Medicine Physicians
Art Instructor,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Drilling Engineer,17-2171.00,Petroleum Engineers
Residence Life Director,39-9041.00,Residential Advisors
Security Agent,33-9032.00,Security Guards
Tower Hand,47-2221.00,Structural Iron and Steel Workers
Anthropology Professor,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
Log Grader,45-4023.00,Log Graders and Scalers
Marine Safety Officer,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Transportation Maintenance Specialist (TMS),47-4051.00,Highway Maintenance Workers
Mechanic Helper,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
Reprographics Technician,43-9071.00,"Office Machine Operators, Except Computer"
Chief Operating Officer (COO),11-1011.00,Chief Executives
Scientific Informatics Analyst,15-2099.01,Bioinformatics Technicians
Physical Therapy Assistant (PTA),31-2021.00,Physical Therapist Assistants
Library Technical Assistant (LTA),25-4031.00,Library Technicians
Screen Making Technician,51-9194.00,Etchers and Engravers
Coder,29-2072.00,Medical Records Specialists
Nursing Assistant,31-1131.00,Nursing Assistants
Railcar Switcher,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists
Resource Technician,19-4071.00,Forest and Conservation Technicians
Boot and Shoe Repairman,51-6042.00,Shoe Machine Operators and Tenders
Program Eligibility Specialist,43-4061.00,"Eligibility Interviewers, Government Programs"
Resource Conservationist,19-1031.00,Conservation Scientists
Spanish Professor,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
Diamond Driller,47-5023.00,"Earth Drillers, Except Oil and Gas"
Survey Research Consultant,19-3022.00,Survey Researchers
Psychiatric RN (Psychiatric Registered Nurse),29-1141.00,Registered Nurses
Court Stenographer,27-3092.00,Court Reporters and Simultaneous Captioners
Pressing Machine Operator,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Cloud Product Director,15-1299.09,Information Technology Project Managers
Private Mathematics Tutor,25-3041.00,Tutors
Refinish Technician (Refinish Tech),49-3021.00,Automotive Body and Related Repairers
Load Out Person,53-7121.00,"Tank Car, Truck, and Ship Loaders"
Instrument Repair Technician,49-9063.00,Musical Instrument Repairers and Tuners
Elevator Repair and Maintenance Technician (Elevator Repair and Maintenance Tech),47-4021.00,Elevator and Escalator Installers and Repairers
Real Estate Analyst,13-2051.00,Financial and Investment Analysts
Dish Technician,35-9021.00,Dishwashers
Human Geography Professor,25-1064.00,"Geography Teachers, Postsecondary"
Administrative Director,11-3012.00,Administrative Services Managers
Production Clerk,43-5061.00,"Production, Planning, and Expediting Clerks"
Custom Clothier,51-6051.00,"Sewers, Hand"
Dental Ceramist,51-9081.00,Dental Laboratory Technicians
Certified Therapeutic Recreation Specialist (CTRS),29-1125.00,Recreational Therapists
Adult Education Teacher,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Logistics Analyst,13-1081.02,Logistics Analysts
Correctional Officer Captain,33-1011.00,First-Line Supervisors of Correctional Officers
Mathematics Professor,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Sports Editor,27-3041.00,Editors
Courier,43-5021.00,Couriers and Messengers
Justice Professor,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Bill Board Poster,47-2142.00,Paperhangers
Log Buyer,45-4023.00,Log Graders and Scalers
Certified Ophthalmic Medical Technician (Certified Ophthalmic Medical Tech),29-2057.00,Ophthalmic Medical Technicians
Web Director,15-1299.01,Web Administrators
Public Relations Coordinator (PR Coordinator),27-3031.00,Public Relations Specialists
Hair Dresser,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Spa Attendant,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Staking Technician (Staking Tech),17-3012.00,Electrical and Electronics Drafters
Archival Records Clerk,25-4011.00,Archivists
Aerial Photogrammetrist,17-1021.00,Cartographers and Photogrammetrists
Office Clerk,43-9061.00,"Office Clerks, General"
Loadmaster,53-1041.00,Aircraft Cargo Handling Supervisors
Data Processing Manager,11-3021.00,Computer and Information Systems Managers
Prosthetist,29-2091.00,Orthotists and Prosthetists
Dermatologist Physician,29-1213.00,Dermatologists
Locomotive Engineer,53-4011.00,Locomotive Engineers
Title One Kindergarten Teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
Van Driver,53-3053.00,Shuttle Drivers and Chauffeurs
Comic,27-2011.00,Actors
Hearing Care Practitioner,29-2092.00,Hearing Aid Specialists
911 Communications Manager,11-9161.00,Emergency Management Directors
Galvanizer,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
Ocean Forwarder,43-5011.01,Freight Forwarders
Community Health Promoter,21-1094.00,Community Health Workers
Histology Technologist,29-2011.04,Histotechnologists
Computer-Aided Design Operator,17-3012.00,Electrical and Electronics Drafters
Occupational Therapy Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Communicable Diseases Specialist,19-1041.00,Epidemiologists
Highway Maintenance Technician,47-4051.00,Highway Maintenance Workers
Clinical Psychology Professor,25-1066.00,"Psychology Teachers, Postsecondary"
Reactor Operator (RO),51-8011.00,Nuclear Power Reactor Operators
Health and Physical Education Professor (HPE Professor),25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
Thermo Processor,51-3093.00,Food Cooking Machine Operators and Tenders
Air Traffic Controller (ATC),53-2021.00,Air Traffic Controllers
Branch Operations Specialist,43-3071.00,Tellers
Train Dispatcher,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
Gas Pumper,53-6031.00,Automotive and Watercraft Service Attendants
Physical Therapist Assistant (PTA),31-2021.00,Physical Therapist Assistants
Logistics Engineer,13-1081.01,Logistics Engineers
Aircraft Electrician,49-2091.00,Avionics Technicians
Automation Designer,17-2199.05,Mechatronics Engineers
Electronics Technician (Electronics Tech),17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
Power Project Manager,11-3051.06,Hydroelectric Production Managers
Boiler Technician (Boiler Tech),51-8021.00,Stationary Engineers and Boiler Operators
Climber,37-3013.00,Tree Trimmers and Pruners
Wireman Apprentice,47-3013.00,Helpers--Electricians
Chrome Plater,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
Full Stack Developer,15-1252.00,Software Developers
Education Instructor,25-1081.00,"Education Teachers, Postsecondary"
Occupational Rehabilitation Aide,31-2012.00,Occupational Therapy Aides
Grounds Crew Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Wind Facilities Manager,11-9199.09,Wind Energy Operations Managers
Dock Attendant,53-6031.00,Automotive and Watercraft Service Attendants
Extension Educator,25-9021.00,Farm and Home Management Educators
Marine Fuel Dock Attendant,53-6031.00,Automotive and Watercraft Service Attendants
Cement Finisher,47-2051.00,Cement Masons and Concrete Finishers
Camera Repair Technician,49-9061.00,Camera and Photographic Equipment Repairers
Industrial Psychologist,19-3032.00,Industrial-Organizational Psychologists
Building Services Technician (Building Services Tech),37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Breeder,45-2021.00,Animal Breeders
Newborn ICU RN (Newborn Intensive Care Unit Registered Nurse),29-1141.03,Critical Care Nurses
Bilingual Speech-Language Pathologist (Bilingual SLP),29-1127.00,Speech-Language Pathologists
Edgerman,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
Energy Administrator,47-4099.03,Weatherization Installers and Technicians
Cost Consultant,13-1051.00,Cost Estimators
Centerless Grinder Operator,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Reference Librarian,25-4022.00,Librarians and Media Collections Specialists
Lay Midwife,29-9099.01,Midwives
Vaccinator,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Botanist,19-1029.04,Biologists
Clinical and Wellness Programs Manager,11-9179.01,Fitness and Wellness Coordinators
Package Delivery Driver,53-3033.00,Light Truck Drivers
Cement Mason,47-2051.00,Cement Masons and Concrete Finishers
Lock Tender,53-6011.00,Bridge and Lock Tenders
Public Safety Officer,33-3051.00,Police and Sheriff's Patrol Officers
Risk Specialist,13-2054.00,Financial Risk Specialists
Rigging Fabricator,49-9096.00,Riggers
Control Tower Operator,53-2021.00,Air Traffic Controllers
Psychiatric Clinical Nurse Specialist (Psychiatric CNS),29-1141.02,Advanced Practice Psychiatric Nurses
Banquet Manager,11-9051.00,Food Service Managers
Residential Pest Control Technician,37-2021.00,Pest Control Workers
Musculoskeletal Specialty Radiologist (MSK Specialty Radiologist),29-1224.00,Radiologists
Order Entry Representative (Order Entry Rep),43-4151.00,Order Clerks
Nurse Epidemiologist,19-1041.00,Epidemiologists
Light Rail Operator,53-4041.00,Subway and Streetcar Operators
Forger,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
Financial Crimes Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Executive Chef (Ex Chef),35-1011.00,Chefs and Head Cooks
Network Security Analyst,15-1212.00,Information Security Analysts
Cytologist,29-2011.02,Cytotechnologists
Optical Engineer,17-2199.07,Photonics Engineers
4-H Youth Educator,25-9021.00,Farm and Home Management Educators
Geological E-Logger,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Health Assistant,31-9092.00,Medical Assistants
Customs Inspector,33-3051.04,Customs and Border Protection Officers
Security Installer,49-2098.00,Security and Fire Alarm Systems Installers
Grounds Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Paper Cutter Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Potato Grader,45-2041.00,"Graders and Sorters, Agricultural Products"
Inside Sales Representative (Inside Sales Rep),41-9041.00,Telemarketers
Psychiatric NP (Psychiatric Nurse Practitioner),29-1141.02,Advanced Practice Psychiatric Nurses
Chemical Technician,19-4031.00,Chemical Technicians
Law Associate,23-2011.00,Paralegals and Legal Assistants
Endoscopy Technician (Endoscopy Tech),31-9099.02,Endoscopy Technicians
Statement Services Representative (Statement Services Rep),43-3021.00,Billing and Posting Clerks
Commercial Insulator,47-2132.00,"Insulation Workers, Mechanical"
Career Law Clerk,23-1012.00,Judicial Law Clerks
City Recorder,43-4031.00,"Court, Municipal, and License Clerks"
Pattern Finisher,51-4061.00,"Model Makers, Metal and Plastic"
Proofreader,43-9081.00,Proofreaders and Copy Markers
Refrigeration Technician,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Greenskeeper,37-3011.00,Landscaping and Groundskeeping Workers
Nursery Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Dinner Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Quality Assurance Inspector (QA Inspector),43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Photovoltaic System Designer (PV System Designer),17-2199.11,Solar Energy Systems Engineers
Social Work Instructor,25-1113.00,"Social Work Teachers, Postsecondary"
Quality Management Systems Engineer,17-2112.02,Validation Engineers
Network Administrator,15-1244.00,Network and Computer Systems Administrators
Avionics Safety Inspector,53-6051.01,Aviation Inspectors
Resort Manager,11-9081.00,Lodging Managers
Minor League Baseball Player,27-2021.00,Athletes and Sports Competitors
Nuclear Reactor Operator,51-8011.00,Nuclear Power Reactor Operators
Meteorologist Liaison,19-4099.03,Remote Sensing Technicians
Distribution Operations Supervisor,11-9131.00,Postmasters and Mail Superintendents
Distribution System Operator,51-8012.00,Power Distributors and Dispatchers
Speech Clinician,29-1127.00,Speech-Language Pathologists
Telecommunications Analyst,15-1241.00,Computer Network Architects
Hatchery Supervisor,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Veterinary Technologist,29-2056.00,Veterinary Technologists and Technicians
Biomedical Electronics Technician,17-2031.00,Bioengineers and Biomedical Engineers
Aeronautical Engineer,17-2011.00,Aerospace Engineers
Transportation Specialist,53-4011.00,Locomotive Engineers
Database Architect,15-1243.00,Database Architects
Wire Mill Operator,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
Construction Safety Consultant,19-5012.00,Occupational Health and Safety Technicians
Hotel Concierge,39-6012.00,Concierges
Cytogenetics Clinical Laboratory Specialist (CG CLSp),29-2011.01,Cytogenetic Technologists
Family Practice Certified Advanced Registered Nurse Practitioner,29-1171.00,Nurse Practitioners
Neuropathologist,29-1222.00,"Physicians, Pathologists"
Clinical Massage Therapist,31-9011.00,Massage Therapists
Oncology RN (Oncology Registered Nurse),29-1141.00,Registered Nurses
Alarm Technician,49-2098.00,Security and Fire Alarm Systems Installers
Bakery Manager,41-1011.00,First-Line Supervisors of Retail Sales Workers
RV Repair Technician (Recreational Vehicle Repair Technician),49-3092.00,Recreational Vehicle Service Technicians
Resident Care Supervisor,39-1022.00,First-Line Supervisors of Personal Service Workers
Sewer,51-6031.00,Sewing Machine Operators
Cytotechnologist,29-2011.02,Cytotechnologists
Outside Maintenance Worker,37-3011.00,Landscaping and Groundskeeping Workers
Coat Check Attendant,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Eligibility Specialist,43-4061.00,"Eligibility Interviewers, Government Programs"
Deputy Sheriff,33-3051.00,Police and Sheriff's Patrol Officers
Television News Reporter,27-3023.00,"News Analysts, Reporters, and Journalists"
Regulatory Services Consultant,13-1041.07,Regulatory Affairs Specialists
Geographic Information System Analyst (GIS Analyst),15-1299.02,Geographic Information Systems Technologists and Technicians
Cut Off Saw Operator,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
Forge Operator,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
Ski Patroller,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Chief Information Officer (CIO),11-1011.00,Chief Executives
Diamond Picker,51-9071.06,Gem and Diamond Workers
Biostatistician,15-2041.01,Biostatisticians
Roofer,47-2181.00,Roofers
Physical Education Teacher (PE Teacher),25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
Piano Tuner,49-9063.00,Musical Instrument Repairers and Tuners
Air Traffic Control Specialist (ATCS),53-2021.00,Air Traffic Controllers
High School Special Education Teacher,25-2058.00,"Special Education Teachers, Secondary School"
Mechanic Insulator,47-2132.00,"Insulation Workers, Mechanical"
Sales and Service Associate (SSA),43-5051.00,Postal Service Clerks
Egg Worker,45-2041.00,"Graders and Sorters, Agricultural Products"
Organizational Consultant,19-3032.00,Industrial-Organizational Psychologists
School Psychologist,19-3034.00,School Psychologists
Precision Millwright,49-9044.00,Millwrights
Commercial Banker,13-2072.00,Loan Officers
Information Systems Security Analyst,15-1212.00,Information Security Analysts
Roadway Engineer,17-2051.01,Transportation Engineers
Stone Mason,47-2022.00,Stonemasons
Compensation and Benefits Manager,11-3111.00,Compensation and Benefits Managers
Mortuary Operations Manager,11-9171.00,Funeral Home Managers
LPT (Licensed Psychiatric Technician),29-2053.00,Psychiatric Technicians
Glassblower,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
Financial Center Manager,11-3031.00,Financial Managers
Athletic Trainer,29-9091.00,Athletic Trainers
Drug Regulatory Affairs Specialist,13-1041.07,Regulatory Affairs Specialists
Prepress Operator,51-5111.00,Prepress Technicians and Workers
Sterile Technician,31-9093.00,Medical Equipment Preparers
Helicopter Pilot,53-2012.00,Commercial Pilots
Deployment Engineer,17-2072.01,Radio Frequency Identification Device Specialists
Police Crime and Intelligence Analyst,33-3021.06,Intelligence Analysts
Process Control Tech,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
Clinical Research Scientist,19-1042.00,"Medical Scientists, Except Epidemiologists"
Photographic Technician (Photo Tech),49-9061.00,Camera and Photographic Equipment Repairers
Electronic Imager,43-9031.00,Desktop Publishers
Environmental Engineering Assistant,17-3025.00,Environmental Engineering Technologists and Technicians
Tire Repairer,49-3093.00,Tire Repairers and Changers
Surveillance Agent,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Farm Equipment Mechanic,49-3041.00,Farm Equipment Mechanics and Service Technicians
Solar Engineer,17-2199.11,Solar Energy Systems Engineers
Technical Illustrator,27-1024.00,Graphic Designers
Athletic Lecturer,29-9091.00,Athletic Trainers
Health and Safety Specialist,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Precision Agriculture Analyst (Precision Ag Analyst),19-4012.01,Precision Agriculture Technicians
Card Dealer,39-3011.00,Gambling Dealers
Warehouse Insulation Worker,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Fork Truck Driver,53-7051.00,Industrial Truck and Tractor Operators
Wall Covering Contractor,47-2142.00,Paperhangers
Geoscientist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
Telesales Specialist,41-9041.00,Telemarketers
Administrative Specialist (Admin Specialist),43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
